"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"SOR7PUS","194913","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195013","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195113","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195213","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195313","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195413","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195513","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195613","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195713","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195813","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","195913","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196013","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196113","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196213","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196313","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196413","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196513","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196613","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196713","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196813","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","196913","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197013","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197113","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197213","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197301","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197302","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197303","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197304","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197305","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197306","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197307","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197308","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197309","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197310","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197311","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197312","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197313","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197401","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197402","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197403","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197404","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197405","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197406","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197407","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197408","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197409","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197410","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197411","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197412","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197413","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197501","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197502","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197503","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197504","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197505","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197506","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197507","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197508","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197509","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197510","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197511","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197512","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197513","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197601","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197602","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197603","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197604","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197605","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197606","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197607","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197608","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197609","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197610","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197611","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197612","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197613","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197701","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197702","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197703","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197704","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197705","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197706","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197707","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197708","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197709","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197710","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197711","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197712","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197713","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197801","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197802","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197803","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197804","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197805","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197806","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197807","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197808","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197809","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197810","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197811","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
"SOR7PUS","197812","Not Available","1","Distributed Solar Photovoltaic Generation: Residential Sector","Million Kilowatthours"
