"Series Key",EBA.SE-ALL.D.H,"Series Key",EBA.TVA-ALL.D.H
"Series Name","Demand for Southeast (region), hourly - UTC time","Series Name","Demand for Tennessee Valley Authority (TVA), hourly - UTC time"
Units,megawatthours,Units,megawatthours
Frequency,H,Frequency,H
"Start Date",20150701T06Z,"Start Date",20150701T06Z
"End Date",20211012T11Z,"End Date",20211012T11Z
Source,,Source,

20211006T19Z,28028,20211006T19Z,19322
20211006T18Z,27754,20211006T18Z,18893
20211006T17Z,27492,20211006T17Z,18303
20211006T16Z,26796,20211006T16Z,17804
20211006T15Z,25977,20211006T15Z,17303
20211006T14Z,25289,20211006T14Z,16796
20211006T13Z,24587,20211006T13Z,16399
20211006T12Z,24079,20211006T12Z,16068
20211006T11Z,23138,20211006T11Z,14986
20211006T10Z,21933,20211006T10Z,14102
20211006T09Z,21557,20211006T09Z,13927
20211006T08Z,21523,20211006T08Z,14025
20211006T07Z,21494,20211006T07Z,14218
20211006T06Z,22414,20211006T06Z,14664
20211006T05Z,21983,20211006T05Z,15349
20211006T04Z,24055,20211006T04Z,16271
20211006T03Z,25446,20211006T03Z,17370
20211006T02Z,26653,20211006T02Z,18237
20211006T01Z,27675,20211006T01Z,18901
20211006T00Z,27874,20211006T00Z,18893
20211005T23Z,27425,20211005T23Z,18777
20211005T22Z,27508,20211005T22Z,18933
20211005T21Z,27394,20211005T21Z,19069
20211005T20Z,27111,20211005T20Z,18990
20211005T19Z,29010,20211005T19Z,19013
20211005T18Z,26693,20211005T18Z,18956
20211005T17Z,26033,20211005T17Z,18584
20211005T16Z,25543,20211005T16Z,17957
20211005T15Z,25220,20211005T15Z,17436
20211005T14Z,24700,20211005T14Z,16881
20211005T13Z,24391,20211005T13Z,16364
20211005T12Z,24083,20211005T12Z,15939
20211005T11Z,22942,20211005T11Z,14918
20211005T10Z,22003,20211005T10Z,14049
20211005T09Z,21334,20211005T09Z,13749
20211005T08Z,21356,20211005T08Z,13843
20211005T07Z,21520,20211005T07Z,14196
20211005T06Z,22099,20211005T06Z,14731
20211005T05Z,23761,20211005T05Z,15599
20211005T04Z,24982,20211005T04Z,16680
20211005T03Z,26856,20211005T03Z,18114
20211005T02Z,28532,20211005T02Z,19299
20211005T01Z,29921,20211005T01Z,20309
20211005T00Z,30372,20211005T00Z,20708
20211004T23Z,30249,20211004T23Z,21283
20211004T22Z,30725,20211004T22Z,21755
20211004T21Z,31134,20211004T21Z,21764
20211004T20Z,31221,20211004T20Z,21460
20211004T19Z,31009,20211004T19Z,21013
20211004T18Z,30222,20211004T18Z,20319
20211004T17Z,29154,20211004T17Z,19507
20211004T16Z,28256,20211004T16Z,18462
20211004T15Z,27335,20211004T15Z,17625
20211004T14Z,26388,20211004T14Z,17020
20211004T13Z,25644,20211004T13Z,16518
20211004T12Z,25385,20211004T12Z,16036
20211004T11Z,23988,20211004T11Z,14965
20211004T10Z,22563,20211004T10Z,13999
20211004T09Z,21727,20211004T09Z,13546
20211004T08Z,21594,20211004T08Z,13651
20211004T07Z,21855,20211004T07Z,13821
20211004T06Z,22456,20211004T06Z,14257
20211004T05Z,23132,20211004T05Z,15052
20211004T04Z,24294,20211004T04Z,15891
20211004T03Z,25957,20211004T03Z,16969
20211004T02Z,27576,20211004T02Z,17896
20211004T01Z,28810,20211004T01Z,18599
